ID,Location,Title,Summary
https://kr.indeed.com/viewjob?jk=18647b6687b43e04,성남 분당구,게임서버 개발,"및 배포 시스템 구축과 개선 [자격요건] - Javascript, Python, C# 등을 사용하여 API 서버 개발, 설계가 가능하신 분 (API... 격요건 - Javascript, Python, C# 등을 사용하여 API..."
https://kr.indeed.com/viewjob?jk=1507c71b18b36a92,서울 선릉역,데이터 과학자(Data Scientist),"대한 통찰을 바탕으로 차세대 신용평가 모델 연구를 이끌어 주실 분 - Python, R, Java 중 한 가지 이상 언어를 사용하여 데이터 분석이 가능... 모델 연구를 이끌어 주실 분 - Python, R, Java 중 한 가지..."
https://kr.indeed.com/viewjob?jk=62188527e0229352,대구 현풍면,DGIST-ETH 마이크로로봇연구센터 계약직 직원(Post-doc) 공개...,"COMSOL, ANSYS 등) 사용 경험자 우대 MATLAB, Python 등을 사용한 기본적인 프로그래밍 경험자 우대 MEMS/BioMEMS... 경험자 우대 MATLAB, Python 등을 사용한 기본적인 프로그래밍..."
https://kr.indeed.com/viewjob?jk=51dcabafcf7a0bb0,서울 구로구,저축은행 디지털뱅킹팀 데이터분석,"정규 대졸 이상 - 데이터분석 경력 3년 이상 - 실제 서비스 데이터를 이용한 분석모델 개발 경험 - R, Python, SQL 등 데이터 분석의 업무를 수행할 수 있는 하나 이상의 개발 언어에 숙달 <우대사항> - 해당..."
https://kr.indeed.com/viewjob?jk=a72ab5e8773b9ad8,서울,빅데이터 개발(3년이상 경력),"자격 - JAVA/ Python/Scala 등 활용한 데이터분석/설계/개발 역량 - DB 설계/개발 역량 - 빅데이터(Hadoop Eco) 기반 DW/DM Architecture 수립 경험 보유자 - Python, Hadoop..."
https://kr.indeed.com/viewjob?jk=d24428ed26f0b058,서울 구로구,디지털LAB 신기술파트,"[담당업무] 쳇봇, STT/TA/TTS, AI 일반 [자격요건] 4년제 정규 대졸 이상 Java, Python 프로그램 사용 가능 머신러닝(Tensorflow, DL4, Caffe,Theano) 프레임워크 기반 개발 능력 보유..."
https://kr.indeed.com/viewjob?jk=4fb135f4b8706402,서울,머신러닝 엔지니어 (Machine Learning Engineer),"평가 및 개발, 적용 필수사항 : - PyTorch, Tensorflow 중 1개 이상 사용 가능 - Python 중급 이상 - Apache Spark 사용 가능 - 딥러닝 포함 머신러닝 관련 지식 보유 - 머신러..."
https://kr.indeed.com/viewjob?jk=2cca42ee0951d4be,서울,"Principal, Business Analysis (Coupang Ea...","SQL, Excel, Python, and R/SAS or any... 경영학 학사 혹은 해당 분야에서 그에 준하는 경험 SQL, Excel, Python, R/SAS 등 통계 분석용 소프트웨어 활용 경험 Hadoop..."
https://kr.indeed.com/viewjob?jk=c495ae06620d2544,서울,Junior and/or Senior S/W Engineers for C...,5 years of work experience in C and Python programming ?Minimum of 3 years of work... experience in C and Python programming...
https://kr.indeed.com/viewjob?jk=a4e5c4e5a7a552a1,서울 송파구,Data Analyst (데이터 분석가) 경력직,통계 프로그램 활용 능력 u SAS / R / Python 중 최소 1가지 중급 이상의 활용능력 요구 ? Communication u Basic... 활용 능력 u SAS / R / Python 중 최소 1가지 중급 이상의...
https://kr.indeed.com/viewjob?jk=2d6e7d69a6ba52d6,서울 역삼동,전산팀 개발 담당,"남자 -4년제 대졸이상 / 전공무관 -기술요구사항: JAVA/WEB, PYTHON, ORACLE: ERP I/F API, CRAWLING 개발... 기술요구사항: JAVA/WEB, PYTHON, ORACLE: ERP I/F..."
https://kr.indeed.com/viewjob?jk=96688eea9c1a9e28,서울 강남구,Security Engineer (취약점 분석),"# 자격 요건 - 모의해킹 및 취약점 점검 경력이 있는 분 - 소스 코드 정적 취약점 점검에 능숙한 분 - Python, C, C++, JAVA 중 프로그래밍 언어에 능숙한 분 # 우대 사항 - 국내 또는 국외 버그 바운티..."
https://kr.indeed.com/viewjob?jk=bdd74c4ec3170794,서울,[그룹사 신용카드 대기업] 미들웨어 관리 및 운영,"및 설계 능력 보유 - TP-Monitor 용 APM 사용 경험자 - C언어, JAVA언어 개발 경험자 - Python 사용 가능자 - 금융기관 미들웨어 운영 경험자 [제출서류] - 국문이력서 / 경력기술서 / 자기소개서..."
https://kr.indeed.com/viewjob?jk=8a5c305f2e5018ed,성남 판교역,데이터 인프라 담당자 모집,"인프라/DB/Hadoop 에 관심이 있으신 분 하둡 기반 대용량 데이터 환경 경험이 있으신 분 Java, python, go, bash 등 스크립팅 언어 중 하나 이상 활용 가능하신 분 데이터 분석가와 협업 경험이 있으신 분..."
https://kr.indeed.com/viewjob?jk=8d4c14e8e532ecae,서울,금융대기업 Data Scientist,"조건] - 빅데이터 에코 시스템 기반 데이터 분석 경험자 - Agile Scrum 기반 프로젝트 경험자 - Python 기반 라이브러리 개발, 패키징 및 배포 - 대량의 코드 분석 및 코드리뷰에 능숙하신 분 [전형과정] 서류..."
https://kr.indeed.com/viewjob?jk=ae15250b0a7f47e0,서울 반포동,데이터 엔지니어,"데이터 관리 (Auth0) - 블록체인 지갑 인증 (Ethereum, EOS) [자격요건] - 백엔드 & Python 실무 개발경험 3년 이상 혹은 그에 준하는 능력을 갖고 있으신 분 - 새로운 기술에 대해 호기심을 갖고..."
https://kr.indeed.com/viewjob?jk=bfe0f5ac4f32ec89,성남 판교역,추천 통계분석/데이터사이언티스트,기능 기계학습 모델링 지원자격 개발 경력 3년 이상 숙련된 데이터분석 능력 데이터 사이언스를 위한 언어( Python/R) 를 하나 이상 능숙하게 다룰 수 있으신 분 분석 결과를 설득력있게 전달할 수 있는 분 우대사항...
https://kr.indeed.com/viewjob?jk=b25ed61fb84a5785,대한민국,프론트엔드 개발자,"적으로 TypeScript, React 및 Redux를 사용합니다. 사내 도구는 Rust와 Haskell, Python을 사용합니다. 제출 서류 이력서(필수), 포트폴리오/Github 주소(선택) 접수 기간 상시 채용(채용시 마감)"
